questions,answers,contexts
What is SUSI Partner's approach to physical climate risk assessment?,"SUSI Partners takes a proactive approach to physical climate risk assessment. They have developed a climate change matrix that assesses physical and transition risks. The matrix allocates assets to different risk categories based on the severity and probability of climate-related risks. They also perform additional due diligence, such as assessing the impact of climate change on their assets, and have implemented measures such as additional drainage in the construction phase to mitigate potential physical risks early on.","SUSI Partners recognizes the importance of physical climate risk assessment and has developed a climate change matrix to assess the risks associated with their assets. They have also taken steps to mitigate potential physical risks early on, such as implementing additional drainage in the construction phase."
How does SUSI Partners integrate climate opportunities into their business?,SUSI Partners integrates climate opportunities into their business by building on their existing strengths and capabilities. They recognize climate change as both a significant risk and opportunity and are committed to investing in the clean energy infrastructure sector. They also actively engage with their value chain on net zero progress and provide training on climate change to their employees.,SUSI Partners has a long-term vision of achieving net zero and integrating climate opportunities into their business. They are committed to investing in clean energy infrastructure and engaging with their value chain to support the global energy transition.
What is the role of the Sustainability Committee in SUSI Partner's climate risk management?,"The Sustainability Committee is responsible for leading SUSI Partner's efforts to embrace the principles of sustainability, including their climate strategy. They continually review and enhance their frameworks and contribute to industry discourse and thought leadership on these matters.",The Sustainability Committee plays a key role in SUSI Partner's climate risk management. They are responsible for overseeing the implementation of their climate risk management procedures and ensuring that their climate strategy is integrated into their decision-making and performance.
How does SUSI Partners ensure sufficient resources for climate-related risk management?,"SUSI Partners ensures sufficient resources for climate-related risk management by providing training on climate change to their employees, making it a mandatory part of the onboarding process for each new employee. They also ensure that tooling, consultancy support, and resources for climate-related risk management are available.","SUSI Partners recognizes the importance of sufficient resources for climate-related risk management. They provide training on climate change to their employees and ensure that tooling, consultancy support, and resources are available to support their climate risk management approach."
What is the main objective of SUSI Partners' climate strategy?,"The main objective of SUSI Partners' climate strategy is to support the global energy transition and reduce greenhouse gas emissions across their value chain, with a goal of becoming a net zero investor.","As a long-term investor managing multiple clean energy infrastructure funds, we recognize climate change both as  a significant risk but also as a significant opportunity. Climate-related risks potentially impact us at different stages  of our business. In the short and medium term, we are exposed to potential physical and transition risk during the  ownership of our investments.  SHARE alignment and commitment to the global energy transition and we will  continue to invest in this sector."
How does SUSI Partners engage with its investee companies on climate-related issues?,"SUSI Partners engages with its investee companies on climate-related issues through active ownership, which involves setting tailored decarbonization plans that feed into their overall net zero goal. They already engage with their investee companies on areas such as climate resilience in their annual ESG path questionnaire and measure GHG emissions footprints.",A central pillar of our strategy is to engage with each asset to set tailored decarbonisation plans that feed into our  overall net zero goal.
What is SUSI Partners' approach to measuring and reducing greenhouse gas emissions?,"SUSI Partners measures and reduces greenhouse gas emissions through their own GHG emissions, taking steps to reduce emissions where possible and offsetting the remainder. They track and report on opportunities and risks associated with climate change and aim to expand and refine their dataset in 2023.","We consider climate change to be a material risk, including both physical risks such as extreme weather events   and transition risks such as increased volatility, regulatory risk, increased cost of capital and stranded asset risk. Processes in place to  consider climate risk  Climate considerations are incorporated into our ESG framework."
What is SUSI Partners' approach to engaging with stakeholders on climate-related issues?,"SUSI Partners discusses climate-related risks and opportunities with stakeholders, including employees, investors, and investee companies. They also conduct climate change heat map analysis to identify areas of high physical and transition risks.","We discuss climate-related risk as part of our stakeholder engagement with employees, investors and investee  companies. METRICS AND TARGETS We track and report on opportunities and risks associated with climate change. Accurately quantify - ig the GHG foot - print of our portfolio  and short-term  net-zero targets"
What is SUSI Partners' employee retention rate?,"SUSI Partners' employee retention rate was 86% in 2022, down from 94% in previous years, which is still considered an acceptable fluctuation reflecting the expected post-pandemic effects.","Our team members are our most important  assets and recruiting, retaining, and  developing them is key to the success of  our company. Accordingly, achieving our  goals hinges on our ability to attract talent  by engaging with budding investment  professionals, to optimise our recruiting  process to build an engaged and diverse  team, and to ensure that our people remain  healthy, motivated, and eager to contribute  their ideas for the long term."
What percentage of SUSI Partners' employees are women?,"27% of SUSI Partners' employees are women, which is an increase from 24% in 2021.","According to the Sustainability Report 2022, page 24, the gender distribution of SUSI Partners' employees is 73% male and 27% female."
What is SUSI Partners' approach to ensure ESG best practices?,"SUSI Partners invests heavily in developing their employees' ESG know-how, starting by making sustainability a focus topic during the onboarding process for new joiners. They also conduct function- and country-specific trainings around their ESG roadmap to ensure all their people have relevant sustainability skills and knowledge.","According to the Sustainability Report 2022, page 23, SUSI Partners want to instill a mindset in their employees that considers ESG factors in every decision they take."
How does SUSI Partners support the development of its employees?,"SUSI Partners supports the personal development of its employees by providing various learning opportunities, including internal mentoring, regular ESG trainings, financial support for external trainings and skill-specific university courses, and company-wide project-management capabilities. They also developed a comprehensive leadership competency framework.","According to the Sustainability Report 2022, page 24, fostering personal development is crucial to keep employees satisfied and engaged."
What is SUSI Partners' approach to diversity and inclusion?,"SUSI Partners firmly believes that diverse perspectives and backgrounds, coupled with an inclusive culture, can significantly improve decision-making and support their long-term success. They have a zero-tolerance policy towards discrimination of any kind, create an open feedback culture, and enable everyone to contribute their ideas and be heard. They also outlined specific measures to increase female representation in senior positions and allocated necessary budgets to advance these measures.","According to the Sustainability Report 2022, page 24, SUSI Partners believe that inclusion means having a zero-tolerance policy towards discrimination of any kind, creating an open feedback culture, and enabling everyone to contribute their ideas and be heard."
What is SUSI Partners' employee retention rate?,"SUSI Partners' employee retention rate in 2022 was 86%, down from 94% in 2021.","According to the Sustainability Report 2022, page 23, SUSI Partners' employee retention rate in 2022 was 86%."
What does SUSI Partners do to engage with aspiring professionals and build a sustainable organization?,"SUSI Partners engages with aspiring professionals through partnerships with sustainability-focused student organizations at leading Swiss universities, providing workshops and case studies to help students get a first-hand impression of their potential future pathways. They also prioritize creating a company-wide sense of purpose and belonging, providing flexibility in working locations and times, and fostering internal cohesion through regular company-wide events.",SUSI Partners | Sustainability Report 2022
What is SUSI's approach to reducing their greenhouse gas emissions?,"SUSI aims to reduce their greenhouse gas emissions by utilizing digital tools and automation to minimize business travel and paper usage, and by using scalable solutions such as cloud computing to minimize required computing power. They also prioritize the use of virtual meetings, webinars, and digital events, and have implemented strict conditions for physical meetings that require air travel.",SUSI Partners | Sustainability Report 2022
How does SUSI ensure the security and continuity of their ICT setup?,"SUSI ensures the security and continuity of their ICT setup by conducting regular trainings with all employees to sharpen their ability to detect malicious content, simulating phishing attacks to raise awareness and help employees learn from potential mistakes, and continuously improving their physical ICT infrastructure with a focus on strengthening their core network, protecting equipment in case of power grid failures, and increasing failover capabilities.",SUSI Partners | Sustainability Report 2022
What role does ICT play in SUSI's corporate operations and sustainability efforts?,"ICT plays a crucial role in SUSI's corporate operations and sustainability efforts. They rely on ICT to gather, process, and put data and derived information to good use, which is core to their business. They also use ICT to reduce their greenhouse gas emission footprint and affect the performance and health of their employees.",SUSI Partners | Sustainability Report 2022
What is SUSI's approach to ensuring a sustainable future and staying ahead of the curve in the dynamic sector?,"SUSI's approach to ensuring a sustainable future and staying ahead of the curve in the dynamic sector is to prioritize the use of digital tools and automation, utilize scalable solutions such as cloud computing, and provide regular trainings and workshops for their employees, especially on ESG-related subjects.",SUSI Partners | Sustainability Report 2022
What steps are being taken to reduce the emissions footprint of ICT?,"SUSI Partners is taking various steps to reduce the emissions footprint of ICT, including automating simple and repetitive processes, using scalable solutions such as cloud computing, and defining strict standards for hardware procurement and disposal. They also focus on maximizing the lifetimes of devices by purchasing from manufacturers with proven records of longevity and high-quality builds, acquiring modern devices to meet performance requirements of future operation systems, and buying products whose manufacturers actively promote repair and upgrading of individual components.","SUSI Partners | Sustainability Report 2022, page 27"
What is SUSI Partners' approach to ensuring sustainability across its portfolio?,SUSI Partners has a clear focus on sustainability and is continuously striving to improve its ESG capabilities on both the investment and corporate level. They have defined key focus points for each year against which they will measure their progress in next year’s annual Sustainability Report. They also welcome rules that give stakeholders the information on ESG issues they require to help avoid ‘greenwashing’ in the market.,"SUSI Partners | Sustainability Report 2022, page 28"
What are some of the key sustainability initiatives for 2023?,"Some of the key sustainability initiatives for 2023 include enhancing data generation quality and extension of formal ESG onboarding for each investee, formulating a consistent approach to financial contributions to local communities, expanding ESG know-how across the company and beyond, and in-house research on relevant sustainability topics.","SUSI Partners | Sustainability Report 2022, page 28"
How does SUSI Partners ensure compliance with regulatory requirements?,"SUSI Partners ensures compliance with regulatory requirements by defining strict standards for hardware procurement and disposal, acquiring modern devices to meet performance requirements of future operation systems, and buying products whose manufacturers actively promote repair and upgrading of individual components.","SUSI Partners | Sustainability Report 2022, page 27"
What is the goal of SUSI Partners' sustainability efforts?,"The goal of SUSI Partners' sustainability efforts is to reduce the emissions footprint of their ICT and ensure sustainability across their portfolio, with a clear focus on their net zero future.","SUSI Partners | Sustainability Report 2022, page 28"
What is the purpose of the report?,The purpose of the report is to provide information about investments and financial products advised by SUSI Partners and/or its affiliates.,"This report may include information that is based, in part or in full, on hypothetical assumptions, models and/or analyses of SUSI Partners or any of its affiliates (which may not necessarily be described herein), and no representation or warranty is made as to the reasonableness of any such assumptions, models or analyses."
What kind of information is included in the report?,"The report includes information about private market investments, which are highly speculative and involve a substantial degree of risk. The report also includes information about the performance of investments, which may be volatile, and past results may not be used as an indicator of future performance.","Private market investments are mostly illiquid and may not be required to provide periodic pricing or valuation information to investors with respect to individual investments. There is no regular secondary market for such investments and investors’ interests therein, and none is expected to develop."
Who is the target audience for the report?,"The target audience for the report is likely US-based investors/US Persons, as the report includes information about products or funds that are generally not available to US-based investors/US Persons.","Material notes to readers based in the United States of America: this is a publication of SUSI Partners AG, Switzerland and is for informational purposes only. It is not an offer to sell or solicitation of an offer to buy any security. Products or funds mentioned in this publication are generally not available to US-based investors/US Persons."
What is the origin of the information in the report?,"The information set forth in the report was gathered from various sources which SUSI Partners believes, but does not guarantee, to be reliable.","The information set forth herein was gathered from various sources which SUSI Partners believes, but does not guarantee, to be reliable."
"What is the disclaimer regarding the projections, forecasts, and estimates in the report?","SUSI Partners expressly disclaims any obligation or undertaking to update or revise any projections, forecasts or estimates contained in this report to reflect any change in events, conditions, assumptions, or circumstances on which any such statements are based, unless so required by applicable law.","Any projections, forecasts and estimates of SUSI Partners contained herein are for illustrative purposes only and are based on SUSI Partners’ current views and assumptions, which are subject to change at any time. Such projections, forecasts and estimates involve known and unknown risks and uncertainties that may cause actual results, performance, or events to differ materially from those anticipated in the summary information contained in this report."
What is the primary external reporting approach used by UBS Group AG?,"The primary external reporting approach used by UBS Group AG is determined by Swiss legal and regulatory requirements, accounting standards, relevant stock and debt listing rules, including regulations promulgated by the Swiss Financial Market Supervisory Authority (FINMA), the SIX Swiss Exchange, the US Securities and Exchange Commission (the SEC) and other regulatory requirements, as well as by UBS Group AG's financial reporting policies.",Our external reporting approach
What is included in the UBS Group AG Annual Report 2022?,"The UBS Group AG Annual Report 2022 includes consolidated financial statements of UBS Group AG and its consolidated subsidiaries, as well as comprehensive information about UBS Group AG's firm, including its strategy, businesses, financial and operating performance, and other key information.",Annual Reports
What is the basis for UBS Group AG's SEC Form 20-F filing?,The combined annual report for UBS Group AG and UBS AG consolidated is the basis for UBS Group AG's SEC Form 20-F filing.,Annual Reports
When will the UBS Europe SE 2022 financial statements and complementary disclosures be published?,The UBS Europe SE 2022 financial statements and complementary disclosures will be published on UBS Group AG's website in the first half of 2023.,Standalone reports of significant regulated entities
"What does the Diversity, Equity and Inclusion (DE&I) Report detail?","The Diversity, Equity and Inclusion (DE&I) Report details UBS Group AG's DE&I priority areas of focus, strategic goals and approach to achieving them.","Diversity, Equity and Inclusion Report"
What is the primary purpose of UBS Group AG's annual report?,"The primary purpose of UBS Group AG's annual report is to provide comprehensive information about the company's financial and operating performance, strategy, businesses, and other key information to its stakeholders, including shareholders, investors, and regulators. The report is also used as the basis for UBS Group AG's SEC Form 20-F filing.","At the center of our external reporting approach is the annual report of UBS Group AG, which consists of disclosures for UBS Group AG and its consolidated subsidiaries. We also provide a combined annual report for UBS Group AG and UBS AG consolidated, which additionally includes the consolidated financial statements of UBS AG, as well as supplemental disclosures required under SEC regulations, and is the basis for our SEC Form 20-F filing. Annual Reports The 2022 Annual Reports (the UBS Group AG Annual Report 2022 and the combined UBS Group AG and UBS AG Annual Report 2022) include the consolidated financial statements of UBS Group AG and UBS AG, respectively, and provide comprehensive information about our firm, including our strategy, businesses, financial and operating performance, and other key information. The reports are presented in US dollars."
What is UBS's purpose according to the provided text?,"To create long-term value for their investors through attractive risk-adjusted returns and sustainable performance, targeting cost- and capital-efficient growth.","For investors, it means there is clarity behind our decisions. All initiatives are aligned with our purpose and executed with discipline."
What is UBS's approach to sustainability according to the provided text?,UBS is committed to net zero across their business by 2050 and has a dedicated team of 288 employees globally working in the field of sustainability and impact.,"For society, it means that our role is broader than finance. We act responsibly and are committed to our communities, to sustainability and to supporting the world in tackling its biggest challenges."
What is UBS's strategy for creating value for their clients according to the provided text?,"UBS aims to provide personalized, relevant, on-time, and seamless products and services, and strive to be their clients' trusted advisor of choice.","For clients, it means that everyone – from those who advise clients, to those who research investments, to those who manage technology platforms – knows why we do what we do, and how they can contribute to our purpose and use it to drive decision-making."
What is the total capital that UBS intends to return to shareholders for the 2022 financial year according to the provided text?,"USD 7.3bn total capital to be returned to shareholders for the 2022 financial year, amounting to a 95% payout ratio of our net profit attributable to shareholders.","For investors, it means there is clarity behind our decisions. All initiatives are aligned with our purpose and executed with discipline."
What is UBS's cost/income ratio according to the provided text?,72.1% cost/income ratio.,"For investors, it means there is clarity behind our decisions. All initiatives are aligned with our purpose and executed with discipline."
What is UBS's approach to talent development and learning?,"UBS has a multi-faceted approach to talent development and learning, which includes employee flexibility, hybrid work options, and numerous business and employer awards. Agile@UBS is transforming how UBS works and increasing speed in finding solutions for clients. Employee flexibility, including hybrid work options, promotes engagement, increased productivity, and commitment. UBS recognizes the importance of diversity and values it in their culture. UBS is committed to fair pay and people management, ensuring employees have equal opportunities to achieve success. Numerous business and employer awards highlight UBS's expertise and innovative solutions. UBS has a wide recognition as an employer of choice","UBS has a multi-faceted approach to talent development and learning, which includes employee flexibility, hybrid work options, and numerous business and employer awards."
What is UBS's commitment to sustainability?,"UBS is committed to sustainability and has set standards across the industry, challenging themselves to raise the bar and inspiring others to join. UBS aims to contribute to economic stability and reliability within Switzerland and supports the transition to a low-carbon world. UBS has a 13% total reduction of their greenhouse gas footprint (scope 1 and 2 emissions) compared with 2021. UBS has exposed 7.5% of their banking balance sheet to carbon-related sectors and has donated USD 268bn in sustainability focus and impact investments. UBS has a committed USD 150m in grants from the UBS Optimus Foundation network and has raised USD 10.1bn in private clients' money in SDG-related impact investments. UBS staff has invested 177,000 hours in community projects, and the UBS Optimus Foundation network has donated USD 274m in 2022","UBS is committed to sustainability and has set standards across the industry, challenging themselves to raise the bar and inspiring others to join."
What was the reason for the decline in global equities and GDP growth in 2022?,"The decline in global equities and GDP growth in 2022 was due to the impact of Russia's invasion of Ukraine, which led to a humanitarian crisis and wide-ranging sanctions, resulting in higher commodity prices and inflation, and central banks tightening monetary policy at a pace not seen since the 1980s.",Annual Report 2022 | Letter to shareholders 2
What is UBS's strategy for growing its wealth management business in Asia Pacific?,"UBS aims to grow its wealth management business in Asia Pacific by leveraging its diversified business streams and multi-shoring capabilities to mitigate short-term geopolitical and macroeconomic headwinds and focus on longer-term opportunities. The company is also launching digital-led wealth management platforms, such as WE.UBS, to be the provider of choice for digital-first wealth advisory for targeted clients in China, and expanding its global family and institutional wealth business to better serve family offices, entrepreneurs and Asian technology firms in Southeast Asia.","Annual Report 2022 | Letter to shareholders 3Capturing growth opportunities in Asia Pacific Asia Pacific is the fastest-growing wealth market, and our long-term commitment to this region is a cornerstone of our  strategy. UBS is by far the largest wealth manager in the region, and we are #1 in equity capital markets for non-domestic  banks."
What percentage of director and above roles in the US were held by ethnic minority employees in 2022?,20%,"In 2022,...ethnic minority employees held 20% of Director and above roles in the US."
How much did the UBS Optimus Foundation network raise in donations in 2022?,USD 274m,"In 2022, our UBS Optimus Foundation network raised USD 274m in donations, including UBS matching contributions."
What is the profitability of UBS Group AG in 2022?,The net profit attributable to shareholders of UBS Group AG in 2022 was USD 7.6 billion.,"According to the UBS Group AG Annual Report 2022, the net profit attributable to shareholders was USD 7.6 billion, as stated on page 756.9 USD bn Equity attributable to shareholders (2021: USD 60.7 bn) Group results Proﬁ tability Resources USD bn 7.6 Net proﬁ t attributable to shareholders (2021: USD 7.5 bn) 2.25 USD Diluted earnings per share (2021: USD 2.06"
What was the net profit attributable to shareholders of UBS in 2022?,"77,663,300",Annual Report 2022 756.9USD bn Equity attributable  to shareholders (2021: USD 60.7bn)Group results Proﬁ  tability Resources USD bn 7.6 Net proﬁ  t attributable  to shareholders (2021: USD 7.5bn) 2.25USD Diluted earnings  per share (2021: USD 2.06)
What was the total revenue of UBS in 2022?,"3344,556,633","Annual Report 2022 8Our key figures As of or for the year ended USD m, except where indicated 3311..1122..2222 31.12.21 31.12.20 GGrroouupp  rreessuullttss Total revenues   3344,,556633  35,393  33,084"
What is the title of the report that UBS Group AG and its consolidated subsidiaries are presenting?,Annual Report 2022,Refer to the title page of the report.
What is the maximum number of members that the Board of Directors of UBS Group AG can have?,12,"The Board of Directors (the BoD) of UBS Group AG, under the leadership of the Chairman, consists of between 6 and 12 members as per our Articles of Association."
Who is the Chairperson of the Board of Directors of UBS Group AG?,Colm Kelleher,Our Board of Directors 1Colm Kelleher Chairman of the Board of Directors / Chairperson of the Corporate Culture and Responsibility Committee / Chairperson of the Governance and Nominating Committee
What is the responsibility of the Group Executive Board (GEB) of UBS Group AG?,"The GEB has executive management responsibility for the steering of the Group and its business. It develops the strategies of the Group, the business divisions, and Group Functions, and implements the BoD-approved strategies.","Under the leadership of the Group CEO, the GEB was composed of 12 members as of 31 December 2022 and has executive management responsibility for the steering of the Group and its business."
Who is the Group Chief Executive Officer (CEO) of UBS Group AG?,Ralph Hamers,Ralph Hamers Group Chief Executive Officer
When did Union Bank of Switzerland and Swiss Bank Corporation (SBC) merge to form UBS?,1998,"1998 was a major turning point: two of the three largest Swiss banks, Union Bank of Switzerland and Swiss Bank Corporation (SBC), merged to form UBS."
What was the result of UBS acquiring PaineWebber in 2000?,Establishing us as a significant player in the US.,"In 2000, we acquired PaineWebber, a US brokerage and asset management firm with roots going back to 1879, establishing us as a significant player in the US."
What is UBS Group AG's maximum number of members that the Group Executive Board (GEB) can have?,12,"Under the leadership of the Group CEO, the GEB was composed of 12 members as of 31 December 2022 and has executive management responsibility for the steering of the Group and its business."
What is UBS's business model?,"UBS is a leading and truly global wealth manager with focused asset management and investment banking capabilities, and the leading universal bank in Switzerland. They enable people, institutions, and corporations to achieve their goals by providing financial advice and solutions.","Annual Report 2022 | Our strategy, business model, and environment | Our strategy"
What is UBS's focus in terms of driving long-term growth?,"UBS is focused on driving long-term growth while maintaining risk and cost discipline. They aim to generate value for their shareholders and clients by driving long-term growth and are building on their scale, content, and solutions while remaining disciplined on risk and costs. This will enable them to deliver against their financial targets and commercial aspirations.","At UBS, we are driven by a common purpose: Reimagining the power of investing. Connecting people for a better world. This focus provides direction on the way forward and helps us build on our strengths.We are focused on driving long-term growth while maintaining risk and cost discipline. Our objective is to generate value for our shareholders and clients by driving long-term growth. To accomplish this, we are building on our scale, content, and solutions, while remaining disciplined on risk and costs. This will give us the capacity to invest strategically and will enable us to deliver against our financial targets and commercial aspirations, which are outlined in the “Targets, aspirations and capital guidance” section of this report."
What is UBS's approach to sustainability?,"UBS's approach to sustainability is to partner with clients to help them mobilize their capital toward a more sustainable world, meet clients' demands for a credible sustainable offering, and support the transition to a low-carbon economy. They are also investing in technology to enhance their services and adopt sustainable practices in their operations.","Sustainability drives our ambitions and informs our purpose. We partner with our clients to help them mobilize their capital toward a more sustainable world. At UBS, we want to meet clients’ demands for a credible sustainable offering. We want to be the financial provider of choice for clients that wish to mobilize capital toward the achievement of the United Nations Sustainable Development Goals and the orderly transition to a low-carbon economy."
What are UBS's five key pillars for their technology strategy?,"UBS's five key pillars for their technology strategy are Agile@UBS, engineering excellence, quarterly business reviews and digital roadmaps, automation, and modern technology.","We have established our technology strategy based on five key pillars: (i) Agile@UBS, a unified approach to working in an agile way across the firm to become faster and more adaptable; (ii) engineering excellence, as, in order to succeed in making technology a differentiator for our firm, we must attract and retain the best engineers, which is only possible by creating and fostering an engineering and digital culture of excellence; (iii) quarterly business reviews and digital roadmaps that help us to manage our technology investment portfolio in a more strategic and flexible way; (iv) automation, which increases efficiency and effectiveness; and (v) modern technology, which accelerates digitalization and efficiency."
What is UBS's approach to becoming simpler and more efficient?,"UBS's approach to becoming simpler and more efficient is to streamline and standardize their functions, processes, entities, and general ways of doing business, including their Agile@UBS approach, to ultimately improve the client experience.","In order to continuously increase efficiency and our capacity to invest, we are working to become simpler, by further streamlining and standardizing our functions, processes, entities, and general ways of doing business, including our Agile@UBS approach, to ultimately improve the client experience."
What is the purpose of UBS's quarterly business reviews and digital roadmaps?,The purpose of UBS's quarterly business reviews and digital roadmaps is to help them manage their technology investment portfolio in a more strategic and flexible way.,We are using the quarterly business reviews and digital roadmaps to help us manage our technology investment portfolio in a more strategic and flexible way.
What is UBS's approach to adopting new technology?,"UBS's approach to adopting new technology is to leverage a lean, modern technology estate and Cloud-based applications to provide clients with flexible, best-in-class service. They are also investing in automation and modern technology to enhance their services and adopt sustainable practices in their operations.","We believe the bank of the future will leverage a lean, modern technology estate and Cloud-based applications to provide clients with flexible, best-in-class service. As such, in 2022, we removed approximately 39,000 legacy technology components and decommissioned more than 600 applications, as a step to modernize our technology estate and enhance our cybersecurity position."
What is the main objective of UBS's partnership with Microsoft?,To accelerate UBS's Cloud footprint over the next five years,"We also announced the landmark expansion of our partnership with Microsoft, to accelerate  our Cloud footprint over the next five years."
What is the primary objective of UBS's Global Wealth Management division?,"To help clients pursue what matters most to them by offering advice, expertise, and solutions and delivering on the client promise to be personalized, relevant, on-time, and seamless.","Our distinctive approach to wealth management is designed to help our clients pursue what matters most to them by offering advice, expertise, and solutions and delivering on our client promise to be personalized, relevant, on-time, and seamless."
What is the name of the cross-divisional offering that UBS created to cater to clients with institutional-like needs?,Global Family & Institutional Wealth (GFIW).,"In April 2022, to better cater to our clients with institutional-like needs that require a more bespoke offering, we created GFIW, a cross-divisional offering that leverages capabilities from the Investment Bank and client coverage from Global Wealth Management."
What is the name of the unit that delivers lending capabilities to clients of both the Investment Bank and Global Wealth Management?,Global Lending Unit.,The Global Lending Unit delivers lending capabilities to clients of both the Investment Bank and Global Wealth Management.
What is the name of the strategic partnership between Global Wealth Management and the Investment Bank?,Unified Global Markets.,We continue to develop the cross-divisional strategic partnership between Global Wealth Management and the Investment Bank.
What is the primary focus of UBS's Global Wealth Management franchise?,"The primary focus of UBS's Global Wealth Management franchise is to provide tailored advice, expertise, and solutions that help clients protect and grow their wealth, today, tomorrow, and for generations to come.","As a leading and truly global wealth manager,1 we help our clients pursue what matters most to them."
What is the purpose of the UBS House View?,"The purpose of the UBS House View is to identify investment opportunities designed to protect and increase clients’ wealth over the longer term, directing the investment advice for and management of more than USD 1trn in fee-generating assets globally.","Our Chief Investment Office (the CIO) produces the UBS House View, identifying investment opportunities designed to protect and increase our clients’ wealth over the longer term, directing the investment advice for and management of more than USD 1trn in fee-generating assets globally."
What is the advantage of the Direct Investment Insights function on the UBS online banking platform?,The Direct Investment Insights function on the UBS online banking platform enables clients to trade directly based on CIO insights via their smartphones and other digital devices.,"In Asia Pacific and Switzerland, the Direct Investment Insights function on our online banking platform enables clients to trade directly based on CIO insights via their smartphones and other digital devices."
What is UBS's approach to sustainability?,"UBS's approach to sustainability is to integrate sustainability considerations into our investment processes and offer sustainable investment solutions to our clients. We also provide advice on sustainability and impact investing, and offer a range of sustainable and impact investing products and services.","Refer to our Sustainability Report 2022, available under “Annual reporting” at ubs.com/investors, for more information about sustainability matters."
What is the benefit of UBS's digital transformation?,"UBS's digital transformation aims to make us faster and more responsive, and our services more convenient for our clients. Our clients benefit from a more seamless service across platforms and devices, and our advisors and the teams that support them are aspiring to deliver best-in-class content and solutions with increasing speed, relevance, and personalization.","Our digital transformation aims to make us faster and more responsive and our services more convenient for our clients. Our clients benefit from a more seamless service across platforms and devices, and our advisors and the teams that support them are aspiring to deliver best-in-class content and solutions with increasing speed, relevance, and personalization."
What is UBS's approach to serving its clients?,"UBS seeks to serve its clients according to their individual needs and preferences, based on scalable digital platforms, and underpinned by its client promise: providing service that is personalized, relevant, on-time and seamless.","We are developing new service models through which we seek to serve our clients according to their individual needs and preferences, based on scalable digital platforms, and underpinned by our client promise: providing service that is personalized, relevant, on-time and seamless."
What is UBS's strategy for growth in the wealth management business?,"UBS aims to grow its wealth management business by offering bespoke cross-divisional solutions and premium brand and reputation, leveraging its global franchise and diversification, and emphasizing its commitment to local markets, such as the Middle East and Africa, where it is building out its offering with further investment in local offices.","The region, supported by our GFIW offering. In the Middle East and Africa, we are building out our offering with further investment in local offices, such as Dubai and Qatar, emphasizing our commitment to the region and building on our local strength."
What are the primary business divisions of UBS?,"The primary business divisions of UBS are Personal Banking, Corporate & Institutional Clients, and Asset Management.","In Personal Banking, our main competitors are Raiffeisen, the cantonal banks, Credit Suisse, PostFinance, and other regional and local Swiss banks; we also face competition from international neobanks and other national digital market participants. Areas of competition are basic banking services, mortgages, and foreign exchange, as well as investment mandates and funds. In Corporate & Institutional Clients, the cantonal banks, Credit Suisse and globally active foreign banks are our main competitors. We compete in basic banking services, cash management, trade and export finance, asset servicing, investment advice for institutional clients, corporate finance and lending, and cash and securities transactions for banks. We also support the international business activities of our Swiss corporate clients through local hubs in New York, Frankfurt, Singapore and the Hong Kong SAR. No other Swiss bank offers its corporate clients local banking capabilities abroad. 22 Annual Report 2022 | Our strategy, business model and environment | Our businesses 23Asset Management Asset Management is a global, large-scale and diversified asset manager, with USD 1.1trn in invested assets. We offer investment capabilities and styles across all major traditional and alternative asset classes, as well as advisory support to institutions, wholesale intermediaries and our Global Wealth Management clients. Our strategy is focused on capitalizing on the areas where we have a leading position and differentiated capabilities – including sustainability, alternatives, indexed customization, and key markets in Asia Pacific – in order to drive further profitable growth. Organizational changes In April 2022, we completed the sale of our 49% shareholding in our Japanese real estate joint venture, Mitsubishi Corp.- UBS Realty Inc., to KKR & Co. How we do business We offer clients a wide range of investment products and services in different asset classes, in the form of segregated, pooled or advisory mandates, as well as registered investment funds in various jurisdictions. Our traditional and alternative capabilities include equities, fixed income, hedge funds (single- and multi-manager), real estate and private markets, and indexed and alternative beta strategies, including exchange-traded funds (ETFs), as well as sustainable- and impact- investing products and solutions. Our Investment Solutions business draws on the breadth of our capabilities to offer: asset allocation and currency investment strategies across the risk–return spectrum; customized multi-asset solutions; and advisory and fiduciary services. Sustainable and impact investing remains a key area, as clients increasingly seek solutions that combine their investment goals with sustainability objectives. We are continuing the expansion of our capabilities through: product and service innovation; dedicated research; integrating environmental, social and governance risk factors into our investment processes by"
What are some of the sustainable investing strategies that UBS is focused on?,"UBS is focused on sustainable investing across its product range and provides customized solutions. They have launched various funds and initiatives, such as the UBS Global Equity Climate Transition Fund and the UBS Life Global Equity Sustainable Transition Fund, which aim to mitigate climate-related investment risks while making a positive social impact aligned with specific United Nations Sustainable Development Goals.","In 2022, our Real Estate & Private Markets business launched a number of new innovative strategies, including UK Life Sciences and Cold Storage, and again achieved strong results in the latest GRESB Assessments,1 with 100% of our submitted strategies (representing 96% of Real Estate & Private Markets’ direct pooled real estate and infrastructure strategies) achieving four- or five-star ratings. We also continue to develop our award-winning2 indexed businesses globally, including ETFs in Europe, Switzerland, and Asia."
